run_id,scenario_id,turn_index,mcs_turn
v2_experiments_20260228_061055_mixtral_moe_7b_t0_mixtral_8x7b_18e6bda8,memory_name_recall_01,2,0
v2_experiments_20260228_063133_gemma_9b_t0_gemma2_9b_instruct_q4_k_m_26db8441,memory_structured_recall_01_premium,2,1
v2_experiments_20260228_063133_gemma_9b_t0_gemma2_9b_instruct_q4_k_m_26db8441,memory_name_recall_01_luna,2,1
v2_experiments_20260228_063133_gemma_9b_t0_gemma2_9b_instruct_q4_k_m_26db8441,memory_numeric_recall_01_98765,2,1
v2_experiments_20260228_063133_gemma_9b_t0_gemma2_9b_instruct_q4_k_m_26db8441,memory_name_recall_01_nova,2,1
v2_experiments_20260228_063133_gemma_9b_t0_gemma2_9b_instruct_q4_k_m_26db8441,memory_name_recall_01_milo,2,1
v2_experiments_20260228_063133_gemma_9b_t0_gemma2_9b_instruct_q4_k_m_26db8441,memory_name_recall_01_atlas,2,1
v2_experiments_20260228_063133_gemma_9b_t0_gemma2_9b_instruct_q4_k_m_26db8441,memory_numeric_recall_01_45678,2,1
v2_experiments_20260228_063133_gemma_9b_t0_gemma2_9b_instruct_q4_k_m_26db8441,memory_structured_recall_01,2,0
v2_experiments_20260228_063133_gemma_9b_t0_gemma2_9b_instruct_q4_k_m_26db8441,memory_numeric_recall_01_12345,2,1
v2_experiments_20260228_063133_gemma_9b_t0_gemma2_9b_instruct_q4_k_m_26db8441,memory_structured_recall_01_pro,2,1
v2_experiments_20260228_063133_gemma_9b_t0_gemma2_9b_instruct_q4_k_m_26db8441,memory_numeric_recall_01_483729,2,1
v2_experiments_20260228_063133_gemma_9b_t0_gemma2_9b_instruct_q4_k_m_26db8441,memory_numeric_recall_01,2,1
v2_experiments_20260228_063133_gemma_9b_t0_gemma2_9b_instruct_q4_k_m_26db8441,memory_structured_recall_01_basic,2,1
v2_experiments_20260228_063133_gemma_9b_t0_gemma2_9b_instruct_q4_k_m_26db8441,memory_name_recall_01,2,1
